Symbol,fundamental_score,score_short,score_medium,score_long,combined_strength
DOMS.NS,30,10,30,10,17.0
AEGISVOPAK.NS,20,10,30,10,17.0
AWL.NS,40,10,30,10,17.0
HAL.NS,30,10,30,10,17.0
GAIL.NS,80,10,30,10,17.0
ASTRAL.NS,30,10,30,10,17.0
CGPOWER.NS,30,10,30,10,17.0
MAZDOCK.NS,30,10,30,10,17.0
COCHINSHIP.NS,30,10,30,10,17.0
BBTC.NS,70,10,30,10,17.0
COALINDIA.NS,70,10,30,10,17.0
KALYANKJIL.NS,30,10,30,10,17.0
OBEROIRLTY.NS,40,10,30,10,17.0
RVNL.NS,30,10,30,10,17.0
ENGINERSIN.NS,45,10,30,10,17.0
OIL.NS,80,10,30,10,17.0
ACC.NS,80,10,30,10,17.0
ADANIENT.NS,30,10,30,10,17.0
AKZOINDIA.NS,60,30,10,10,15.0
RKFORGE.NS,40,30,10,10,15.0
ABBOTINDIA.NS,30,30,10,10,15.0
ATUL.NS,40,30,10,10,15.0
SIGNATURE.NS,30,30,10,10,15.0
HDFCLIFE.NS,30,30,10,10,15.0
ICICIBANK.NS,55,30,10,10,15.0
BLS.NS,45,30,10,10,15.0
APLLTD.NS,40,30,10,10,15.0
TCS.NS,45,30,10,10,15.0
SUNDARMFIN.NS,40,30,10,10,15.0
ENRIN.NS,30,30,10,10,15.0
ZENTEC.NS,30,30,10,10,15.0
MAHSEAMLES.NS,80,30,10,10,15.0
GODREJCP.NS,30,30,10,10,15.0
BLUEDART.NS,30,10,10,10,10.0
BRIGADE.NS,40,10,10,10,10.0
CLEAN.NS,30,10,10,10,10.0
PREMIERENE.NS,30,10,10,10,10.0
SUNDRMFAST.NS,30,10,10,10,10.0
IGL.NS,55,10,10,10,10.0
DEEPAKNTR.NS,40,10,10,10,10.0
FSL.NS,30,10,10,10,10.0
MANYAVAR.NS,30,10,10,10,10.0
ADVENTHTL.NS,0,10,10,10,10.0
VENTIVE.NS,30,10,10,10,10.0
BLUEJET.NS,30,10,10,10,10.0
UBL.NS,30,10,10,10,10.0
AARTIIND.NS,40,10,10,10,10.0
ARE&M.NS,55,10,10,10,10.0
CONCORDBIO.NS,30,10,10,10,10.0
EXIDEIND.NS,40,10,10,10,10.0
JINDALSAW.NS,80,10,10,10,10.0
NIACL.NS,65,10,10,10,10.0
ABFRL.NS,40,10,10,10,10.0
MAXHEALTH.NS,30,10,10,10,10.0
LINDEINDIA.NS,30,10,10,10,10.0
SUPREMEIND.NS,30,10,10,10,10.0
ULTRACEMCO.NS,30,10,10,10,10.0
IFCI.NS,50,10,10,10,10.0
MGL.NS,80,10,10,10,10.0
OLAELEC.NS,20,10,10,10,10.0
CERA.NS,30,10,10,10,10.0
IEX.NS,30,10,10,10,10.0
FIRSTCRY.NS,30,10,10,10,10.0
CHALET.NS,30,10,10,10,10.0
GILLETTE.NS,20,10,10,10,10.0
PFC.NS,80,10,10,10,10.0
IGIL.NS,20,10,10,10,10.0
BASF.NS,20,10,10,10,10.0
PGHH.NS,20,10,10,10,10.0
INOXWIND.NS,40,10,10,10,10.0
CONCOR.NS,40,10,10,10,10.0
UTIAMC.NS,40,10,10,10,10.0
ALOKINDS.NS,0,10,10,10,10.0
HAVELLS.NS,30,10,10,10,10.0
OFSS.NS,30,10,10,10,10.0
HFCL.NS,40,10,10,10,10.0
SOLARINDS.NS,30,10,10,10,10.0
NTPC.NS,65,10,10,10,10.0
BIKAJI.NS,30,10,10,10,10.0
IRFC.NS,55,10,10,10,10.0
BATAINDIA.NS,30,10,10,10,10.0
SAREGAMA.NS,30,10,10,10,10.0
IREDA.NS,55,10,10,10,10.0
CAPLIPOINT.NS,45,10,10,10,10.0
LLOYDSME.NS,30,10,10,10,10.0
TECHNOE.NS,40,10,10,10,10.0
PAGEIND.NS,30,10,10,10,10.0
DALBHARAT.NS,40,10,10,10,10.0
RAINBOW.NS,30,10,10,10,10.0
CROMPTON.NS,30,10,10,10,10.0
OLECTRA.NS,30,10,10,10,10.0
NTPCGREEN.NS,30,10,10,10,10.0
LODHA.NS,30,10,10,10,10.0
NHPC.NS,50,10,10,10,10.0
ZENSARTECH.NS,55,10,10,10,10.0
BAJAJHLDNG.NS,65,10,10,10,10.0
AFCONS.NS,40,10,10,10,10.0
MMTC.NS,30,10,10,10,10.0
TATACHEM.NS,50,10,10,10,10.0
JSWINFRA.NS,30,10,10,10,10.0
INDGN.NS,30,10,10,10,10.0
DMART.NS,30,10,10,10,10.0
BAJAJHFL.NS,30,10,10,10,10.0
SUZLON.NS,45,10,10,10,10.0
PPLPHARMA.NS,30,10,10,10,10.0
TIINDIA.NS,30,10,10,10,10.0
IRCON.NS,40,10,10,10,10.0
ALKYLAMINE.NS,20,10,10,10,10.0
ACE.NS,30,10,10,10,10.0
AMBUJACEM.NS,55,10,10,10,10.0
IRB.NS,80,10,10,10,10.0
FACT.NS,30,10,10,10,10.0
BANDHANBNK.NS,65,10,10,10,10.0
RPOWER.NS,50,10,10,10,10.0
POLYMED.NS,30,10,10,10,10.0
KEC.NS,40,10,10,10,10.0
TTML.NS,0,10,10,10,10.0
SKFINDIA.NS,55,10,10,10,10.0
ZEEL.NS,65,10,10,10,10.0
IRCTC.NS,30,10,10,10,10.0
KAYNES.NS,30,10,10,10,10.0
PIDILITIND.NS,30,10,10,10,10.0
CARBORUNIV.NS,30,10,10,10,10.0
PCBL.NS,40,10,10,10,10.0
TITAGARH.NS,30,10,10,10,10.0
GODREJIND.NS,40,10,10,10,10.0
LICHSGFIN.NS,80,10,10,10,10.0
ATGL.NS,30,10,10,10,10.0
COLPAL.NS,30,10,10,10,10.0
DLF.NS,30,10,10,10,10.0
RAILTEL.NS,30,10,10,10,10.0
FINCABLES.NS,55,10,10,10,10.0
PFIZER.NS,30,10,10,10,10.0
JSWENERGY.NS,40,10,10,10,10.0
GUJGASLTD.NS,55,10,10,10,10.0
NAUKRI.NS,50,10,10,10,10.0
SONATSOFTW.NS,45,10,10,10,10.0
VBL.NS,20,10,10,10,10.0
BALRAMCHIN.NS,55,10,10,10,10.0
SHREECEM.NS,30,10,10,10,10.0
GLAXO.NS,30,10,10,10,10.0
JUBLFOOD.NS,30,10,10,10,10.0
INDHOTEL.NS,30,10,10,10,10.0
DEVYANI.NS,30,10,10,10,10.0
ONESOURCE.NS,30,10,10,10,10.0
GSPL.NS,65,10,10,10,10.0
TATAELXSI.NS,30,10,10,10,10.0
JYOTHYLAB.NS,30,10,10,10,10.0
THERMAX.NS,30,10,10,10,10.0
CASTROLIND.NS,35,10,10,10,10.0
MAPMYINDIA.NS,30,10,10,10,10.0
SAPPHIRE.NS,20,10,10,10,10.0
JWL.NS,30,10,10,10,10.0
NCC.NS,80,10,10,10,10.0
JBMA.NS,30,10,10,10,10.0
SHYAMMETL.NS,55,10,10,10,10.0
BEML.NS,30,10,10,10,10.0
SUMICHEM.NS,30,10,10,10,10.0
EMAMILTD.NS,30,10,10,10,10.0
CRISIL.NS,20,10,10,10,10.0
CYIENT.NS,55,10,10,10,10.0
NEWGEN.NS,30,10,10,10,10.0
SCHAEFFLER.NS,20,10,10,10,10.0
PRAJIND.NS,30,10,10,10,10.0
TMPV.NS,80,10,10,10,10.0
COHANCE.NS,30,10,10,10,10.0
TRENT.NS,30,10,10,10,10.0
HOMEFIRST.NS,55,10,10,10,10.0
TATATECH.NS,30,10,10,10,10.0
NUVOCO.NS,50,10,10,10,10.0
ABREL.NS,20,10,10,10,10.0
WHIRLPOOL.NS,50,10,10,10,10.0
ELECON.NS,45,10,10,10,10.0
MANKIND.NS,30,10,10,10,10.0
BAYERCROP.NS,30,10,10,10,10.0
KSB.NS,20,10,10,10,10.0
GODREJAGRO.NS,30,10,10,10,10.0
ACMESOLAR.NS,40,10,10,10,10.0
TEJASNET.NS,30,10,10,10,10.0
CHAMBLFERT.NS,80,10,10,10,10.0
VGUARD.NS,30,10,10,10,10.0
AAVAS.NS,55,10,10,10,10.0
WOCKPHARMA.NS,20,10,10,10,10.0
APTUS.NS,55,10,10,10,10.0
HAPPSTMNDS.NS,30,10,10,10,10.0
